#BrownTAG	WordnetTAG	PennTAG
(	OTHER	(
)	OTHER	)
*	OTHER	*
,	OTHER	,
--	OTHER	-
.	OTHER	.
:	OTHER	:
ABL	OTHER	PDT
ABN	OTHER	PDT
ABX	OTHER	PDT
AP	OTHER	PDT
AP$	OTHER	PDT
AP+AP	OTHER	PDT
AT	ADJECTIVE	DT
BE	VERB	VB
BED	VERB	VBD
BED*	VERB	VBD
BEDZ	VERB	VBD
BEDZ*	VERB	VBD
BEG	VERB	VBG
BEM	VERB	VBP
BEM*	VERB	VBP
BEN	VERB	VBG
BER	VERB	VBP
BER*	VERB	VBP
BEZ	VERB	VBZ
BEZ*	VERB	VBZ
CC	OTHER	CC
CD	NOUN	CD
CD$	NOUN	CD
CS	OTHER	IN
DO	VERB	VB
DO*	VERB	VB
DO+PPSS	VERB	VB
DOD	VERB	VBD
DOD*	VERB	VBD
DOZ	VERB	VBZ
DOZ*	VERB	VBZ
DT	OTHER	DT
DT$	OTHER	DT
DT+BEZ	OTHER	DT
DT+MD	OTHER	DT
DTI	OTHER	DT
DTS	OTHER	DT
DTS+BEZ	OTHER	DT
DTX	OTHER	DT
EX	VERB	EX
EX+BEZ	VERB	EX
EX+HVD	VERB	EX
EX+HVZ	VERB	EX
EX+MD	VERB	EX
FW	OTHER	FW
FW-*	OTHER	FW
FW-AT	ADJECTIVE	FW
FW-AT+NN	ADJECTIVE	FW
FW-AT+NP	ADJECTIVE	FW
FW-BE	VERB	FW
FW-BER	VERB	FW
FW-BEZ	VERB	FW
FW-CC	OTHER	FW
FW-CD	NOUN	FW
FW-CS	OTHER	FW
FW-DT	OTHER	FW
FW-DT+BEZ	OTHER	FW
FW-DTS	OTHER	FW
FW-HV	VERB	FW
FW-IN	OTHER	FW
FW-IN+AT	OTHER	FW
FW-IN+NN	OTHER	FW
FW-IN+NP	OTHER	FW
FW-JJ	ADJECTIVE	FW
FW-JJR	ADJECTIVE	FW
FW-JJT	ADJECTIVE	FW
FW-NN	NOUN	FW
FW-NN$	NOUN	FW
FW-NNS	NOUN	FW
FW-NP	NOUN	FW
FW-NPS	NOUN	FW
FW-NR	NOUN	FW
FW-OD	NOUN	FW
FW-PN	OTHER	FW
FW-PP$	OTHER	FW
FW-PPL	OTHER	FW
FW-PPL+VBZ	OTHER	FW
FW-PPO	OTHER	FW
FW-PPO+IN	OTHER	FW
FW-PPS	OTHER	FW
FW-PPSS	OTHER	FW
FW-PPSS+HV	OTHER	FW
FW-QL	OTHER	FW
FW-RB	ADVERB	FW
FW-RB+CC	ADVERB	FW
FW-TO+VB	VERB	FW
FW-UH	OTHER	FW
FW-VB	VERB	FW
FW-VBD	VERB	FW
FW-VBG	VERB	FW
FW-VBN	VERB	FW
FW-VBZ	VERB	FW
FW-WDT	OTHER	FW
FW-WPO	OTHER	FW
FW-WPS	OTHER	FW
HV	VERB	VB
HV*	VERB	VB
HV+TO	VERB	VB
HVD	VERB	VBD
HVD*	VERB	VBD
HVG	VERB	VBG
HVN	VERB	VBN
HVZ	VERB	VBZ
HVZ*	VERB	VBZ
IN	OTHER	IN
IN+IN	OTHER	IN
IN+PPO	OTHER	IN
JJ	ADJECTIVE	JJ
JJ$	ADJECTIVE	JJ
JJ+JJ	ADJECTIVE	JJ
JJR	ADJECTIVE	JJR
JJR+CS	ADJECTIVE	JJR
JJS	ADJECTIVE	JJS
JJT	ADJECTIVE	JJS
MD	VERB	MD
MD*	VERB	MD
MD+HV	VERB	MD
MD+PPSS	VERB	MD
MD+TO	VERB	MD
NN	NOUN	NN
NN$	NOUN	NN
NN+BEZ	NOUN	NN
NN+HVD	NOUN	NN
NN+HVZ	NOUN	NN
NN+IN	NOUN	NN
NN+MD	NOUN	NN
NN+NN	NOUN	NN
NNS	NOUN	NNS
NNS$	NOUN	NNS
NNS+MD	NOUN	NNS
NP	NOUN	NNP
NP$	NOUN	NNP
NP+BEZ	NOUN	NNP
NP+HVZ	NOUN	NNP
NP+MD	NOUN	NNP
NPS	NOUN	NNPS
NPS$	NOUN	NNPS
NR	NOUN	NN
NR$	NOUN	NN
NR+MD	NOUN	NN
NRS	NOUN	NN
OD	NOUN	CD
PN	OTHER	PP
PN$	OTHER	PP
PN+BEZ	OTHER	PP
PN+HVD	OTHER	PP
PN+HVZ	OTHER	PP
PN+MD	OTHER	PP
PP$	OTHER	PP$
PP$$	OTHER	PP$
PPL	OTHER	PP
PPLS	OTHER	PP
PPO	OTHER	PP
PPS	OTHER	PP
PPS+BEZ	OTHER	PP
PPS+HVD	OTHER	PP
PPS+HVZ	OTHER	PP
PPS+MD	OTHER	PP
PPSS	OTHER	PP
PPSS+BEM	OTHER	PP
PPSS+BER	OTHER	PP
PPSS+BEZ	OTHER	PP
PPSS+BEZ*	OTHER	PP
PPSS+HV	OTHER	PP
PPSS+HVD	OTHER	PP
PPSS+MD	OTHER	PP
PPSS+VB	OTHER	PP
QL	OTHER	PDT
QLP	OTHER	PDT
RB	ADVERB	RB
RB$	ADVERB	RB
RB+BEZ	ADVERB	RB
RB+CS	ADVERB	RB
RBR	ADVERB	RBR
RBR+CS	ADVERB	RBR
RBT	ADVERB	RBS
RN	ADVERB	RB
RP	ADVERB	RP
RP+IN	ADVERB	RP
TO	OTHER	TO
TO+VB	VERB	TO
UH	OTHER	UH
VB	VERB	VB
VB+AT	VERB	VB
VB+IN	VERB	VB
VB+JJ	VERB	VB
VB+PPO	VERB	VB
VB+RP	VERB	VB
VB+TO	VERB	VB
VB+VB	VERB	VB
VBD	VERB	VBD
VBG	VERB	VBG
VBG+TO	VERB	VBG
VBN	VERB	VBN
VBN+TO	VERB	VBN
VBZ	VERB	VBZ
WDT	OTHER	WDT
WDT+BER	OTHER	WDT
WDT+BER+PP	OTHER	WDT
WDT+BEZ	OTHER	WDT
WDT+DO+PPS	OTHER	WDT
WDT+DOD	OTHER	WDT
WDT+HVZ	OTHER	WDT
WP$	OTHER	WP$
WPO	OTHER	WP$
WPS	OTHER	WP
WPS+BEZ	OTHER	WP
WPS+HVD	OTHER	WP
WPS+HVZ	OTHER	WP
WPS+MD	OTHER	WP
WQL	OTHER	WRB
WRB	ADVERB	WRB
WRB+BER	ADVERB	WRB
WRB+BEZ	ADVERB	WRB
WRB+DO	ADVERB	WRB
WRB+DOD	ADVERB	WRB
WRB+DOD*	ADVERB	WRB
WRB+DOZ	ADVERB	WRB
WRB+IN	ADVERB	WRB
WRB+MD	ADVERB	WRB
